BEDROOMS,PROPERTY TYPE,HAS GYM,EN SUITE,SWIMMING POOL,Has DSQ,Has GARDEN,LOCATION,SELLING PRICE 
2,House,0,1,0,0,0,Watamu,"26,000,000"
3,NOT PROVIDED,0,0,0,0,0,Malindi,"72,000,000"
5,Townhouse,0,1,0,0,0,Lavington,"48,000,000"
5,NOT PROVIDED,0,0,0,0,0,Westlands,"250,000,000"
4,House,0,1,0,0,0,Vipingo,"35,000,000"
3,Townhouse,0,1,0,0,0,Athi River,"11,000,000"
5,Townhouse,0,1,0,0,0,Nyali,"45,000,000"
3,Villa,0,1,0,0,0,Mtwapa,"58,000,000"
4,House,0,1,0,0,0,Karen,"75,000,000"
3,House,0,1,0,0,0,Ruiru,"6,500,000"
4,Villa,0,1,0,0,0,Mombasa Island,"150,000,000"
4,Townhouse,0,1,0,0,0,Kilimani,"29,000,000"
4,NOT PROVIDED,0,0,0,0,0,Nyali,"56,000,000"
3,NOT PROVIDED,0,0,0,0,0,Kitengela,"4,500,000"
3,House,0,1,0,1,0,Athi River,"14,000,000"
4,House,0,1,0,0,0,Kenyatta Road,"38,000,000"
5,Villa,0,1,0,0,0,Westlands,"55,000,000"
3,Townhouse,0,1,0,0,0,South B,"13,000,000"
2,Villa,0,1,0,0,0,Diani,"45,000,000"
4,Townhouse,0,1,0,1,0,Kilimani,"30,000,000"
3,House,0,1,0,0,0,Ruiru,"10,500,000"
5,Townhouse,0,1,0,0,0,Karen,"100,000,000"
4,Townhouse,0,0,1,0,0,Westlands,"30,500,000"
4,House,0,1,0,0,0,Kiambu Road,"28,000,000"
4,House,0,1,0,0,0,Lavington,"80,000,000"
3,House,0,0,0,0,0,Ngong,"5,700,000"
4,House,0,1,0,0,0,Karen,"31,000,000"
4,House,0,1,0,0,0,Mtwapa,"26,500,000"
4,House,0,1,0,0,0,Ngong,"17,500,000"
3,Townhouse,0,1,0,0,0,Kilimani,"35,000,000"
3,House,0,1,0,0,0,Ukunda,"33,000,000"
6,House,0,1,0,0,0,Ruiru,"35,000,000"
4,House,0,0,0,0,0,Langata,"26,000,000"
6,House,0,1,0,0,0,Lavington,"135,000,000"
3,House,0,0,0,0,0,Naivasha,"14,000,000"
5,House,0,1,0,0,0,Westlands,"75,000,000"
4,Townhouse,0,1,0,1,0,Ngong,"18,500,000"
5,House,0,1,0,0,0,Nairobi,"50,000,000"
4,Townhouse,0,1,0,1,0,Lavington,"67,000,000"
4,Townhouse,0,1,0,0,0,Westlands,"150,000,000"
4,House,0,1,0,0,0,Kiambu Road,"29,000,000"
4,Villa,0,1,0,0,0,Mombasa Road,"30,000,000"
4,House,0,1,0,0,0,Kiambu Road,"38,500,000"
3,Townhouse,0,1,0,0,0,Ridgeways,"75,000,000"
5,Townhouse,0,1,0,0,0,Lavington,"45,000,000"
3,Villa,0,1,0,0,0,Malindi,"27,500,000"
5,Townhouse,0,1,0,0,0,Lavington,"67,500,000"
3,House,0,1,0,0,0,Kikuyu,"7,800,000"
4,Townhouse,0,1,0,0,0,Ngong,"12,500,000"
5,House,0,1,0,0,0,Westlands,"250,000,000"
4,Townhouse,0,1,0,0,0,Kiambu Road,"25,945,000"
6,House,0,1,0,0,0,Jamhuri,"20,000,000"
4,NOT PROVIDED,0,0,0,0,0,Syokimau,"23,000,000"
4,Townhouse,0,1,0,0,0,South C,"24,000,000"
5,Townhouse,0,1,0,0,0,Westlands,"105,000,000"
5,House,0,1,0,0,0,Karen,"99,000,000"
4,Townhouse,0,1,0,0,0,Kileleshwa,"200,000,000"
4,House,0,1,0,0,0,Ruiru,"17,000,000"
5,Townhouse,0,0,0,0,0,Lavington,"65,000,000"
5,Townhouse,0,1,0,0,0,Ngong,"23,000,000"
4,NOT PROVIDED,0,0,0,0,0,Langata,"37,000,000"
4,Townhouse,0,1,0,0,0,Kitengela,"17,000,000"
6,House,0,0,0,0,0,Westlands,"125,000,000"
6,House,0,1,0,0,0,Murang'a County,"15,000,000"
3,Townhouse,0,1,0,0,0,Kiambu Road,"43,000,000"
6,House,0,1,0,0,0,Muthaiga,"350,000,000"
7,House,0,1,0,0,0,Westlands,"130,000,000"
4,House,0,1,0,0,0,Kiambu Road,"61,950,000"
5,House,0,1,0,0,0,Westlands,"130,000,000"
4,House,0,1,0,0,0,Kiambu Road,"24,500,000"
4,Villa,0,1,0,0,0,Posta Mtwapa,"20,000,000"
3,Townhouse,0,1,0,0,0,Kitengela,"7,200,000"
